vulnerability_variable,short_name,description,Woman.and.her.past.experiences,Health.and.mental.models,Natural.and.human.systems,Household.relationships,Household.economics.and.living.conditions,Social.support
age.1stbrth,Age 1st Birth,Quantitative variable for age at first birth,1.0,,,,,
age.1stbrth.cat,Age 1st Birth Category,Categorical variable for age at first birth,1.0,,,,,
age.1stbrth.cat1,Age 1st Birth Category 1,"Categorical variable for age at first birth, defined by Sen MoH",1.0,,,,,
age.1stbrth.cat2,Age 1st Birth Category 2,"Categorical variable for age at first birth, defined by Sen MoH",1.0,,,,,
age.1stbrth.cat3,Age 1st Birth Category 3,Categorical variable for age at first birth,1.0,,,,,
age.1stcohab,Age 1st Cohab,Quantitative variable for age at first cohabitation,1.0,,,,,
age.1stcohab.cat,Age 1st Cohab Category,Categorical variable for age at first cohabitation w/ partner,1.0,,,,,
age.1stsex,Age 1st Sex,Quantitative variable for age at first sex,1.0,,,,,
age.1stsex.cat,Age 1st Sex Category,Categorical variable for age at first sex,1.0,,,,,
age.1stsex.cat.1,Age 1st Sex Category,Categorical variable for age at first sex,1.0,,,,,
age.diff,Age Difference With Partner,Age difference with partner,1.0,,,,,
age.diff.cat,Age Difference With Partner Category,Categorical value for age difference with partner,1.0,,,,,
age.gap.cat,Age Gap Cat,age gap categorized (partner's age - women's age),1.0,,,,,
age.gap.cat1,Age Gap Cat 1,age gap categorized in a new way,1.0,,,,,
age.yrs,Age,Quantitative variable for age in years,1.0,,,,,
alone,Alone Doctor Visit,going alone to the doctor is a big problem,,1.0,,,,
alwaysres.yn,Always Resident Y/N,whether the HH always live in where they are now,,,1.0,,,
any.media.yn,Any Media Y/N,Binary variable for any news consumption,1.0,,,,,
anyed.yn,Any Education Y/N,Binary variable for any education for woman,1.0,,,,,
asset.index,Asset Index,sum up 4 asset indicators,,,,,1.0,
bf.beans,Gave Child Beans,Binary variable for child consumption of beans during the day prior,,1.0,,,,
bf.fortified.food,Gave Child Fortified Food,Binary variable for child consumption of fortified foods during the day prior,,1.0,,,,
bf.meat,Gave Child Meat,Binary variable for child consumption of meat during the day prior,,1.0,,,,
bf.other.solid,Gave Child Other Solid Food,Binary variable for child consumption of other solid food during the day prior,,1.0,,,,
bf.sweet.snacks,Gave Child Sweet Snacks,Binary variable for child consumption of sweet snacks during the day prior,,1.0,,,,
bike,Bike HH,whether anyone in the HH owns a bicycle,,,,,1.0,
bio.parent,Bio Parents Raised,wheather raised by both biological parents,1.0,,,,,
birth.knowreg,Birth Know Register,Woman knows how to register a birth,,1.0,,,,
birth.reg.cnt,Registered Birth Count,Number of births registered/declared,,1.0,,,,
